2026-06-15 21:48:46,422 - CatalystCalendarModule - INFO - Catalyst Calendar Module Starting...
2026-06-15 21:48:46,422 - CatalystCalendarModule - INFO -    Working dir: /app
2026-06-15 21:48:47,635 - CatalystCalendarModule - INFO -    DB pool connected to postgres:5432/tradingbot
2026-06-15 21:48:49,778 - CatalystCalendarModule - INFO -    Health server on :8096
2026-06-17 05:49:02,826 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 06:49:03,010 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 07:49:03,224 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 08:49:03,394 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 09:49:03,572 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 10:49:03,780 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 11:49:03,948 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 12:49:04,142 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 13:49:04,337 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 14:49:04,532 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 15:49:04,789 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 16:49:10,320 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 17:49:10,539 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 18:49:10,863 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-06-17 19:49:11,014 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-17 20:49:11,190 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-17 21:49:11,409 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-17 22:49:11,672 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-17 23:49:11,854 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-18 00:49:12,002 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-18 01:49:12,150 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-18 02:49:12,358 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-18 03:49:12,785 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-18 04:49:12,951 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-18 05:49:13,116 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-18 06:49:13,308 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-18 07:49:13,503 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-18 08:49:13,686 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-18 09:49:13,909 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-18 10:49:14,120 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 11:49:14,295 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 12:49:14,495 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 13:49:14,674 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 14:49:14,838 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 15:49:15,020 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 16:49:15,212 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 17:49:15,406 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 18:49:15,908 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 19:49:16,371 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 20:49:16,623 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 21:49:16,816 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 22:49:17,037 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-18 23:49:17,215 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 00:49:17,684 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 01:49:18,012 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 02:49:18,198 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 03:49:18,444 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 04:49:18,748 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 05:49:18,908 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 06:49:19,155 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 07:49:19,423 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 08:49:19,916 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 09:49:20,287 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 10:49:20,462 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 11:49:21,106 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 12:49:21,347 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 13:49:21,619 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 14:49:21,810 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 15:49:22,368 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 16:49:22,547 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 17:49:22,721 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 18:49:23,026 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 19:49:23,303 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 20:49:23,520 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 21:49:23,698 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 22:49:24,176 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-19 23:49:24,350 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 00:49:29,814 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 01:49:30,055 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 02:49:30,262 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 03:49:30,637 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 04:49:30,838 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 05:49:31,008 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 06:49:31,203 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 07:49:31,381 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 08:49:31,599 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 09:49:31,775 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 10:49:32,129 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 11:49:32,298 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 12:49:32,531 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 13:49:32,744 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 14:49:32,992 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 15:49:33,192 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 16:49:33,523 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 17:49:33,748 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 18:49:33,952 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 19:49:34,304 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 20:49:34,755 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 21:49:34,935 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 22:49:35,243 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-20 23:49:35,419 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-21 00:49:35,618 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-21 01:49:35,856 - catalyst_calendar - INFO - calendar tick: collected=2 upserted=2 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 2, 'static_macro': 0}
2026-06-21 02:49:36,026 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-21 03:49:36,199 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-21 04:49:36,393 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-21 05:49:36,584 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-21 06:49:36,744 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-21 07:49:36,951 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-21 08:49:37,145 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 1, 'static_macro': 0}
2026-06-21 09:49:37,335 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 10:49:37,540 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 11:49:37,745 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 12:49:37,929 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 13:49:38,200 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 14:49:38,658 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 15:49:38,915 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 16:49:39,199 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 17:49:39,380 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 18:49:39,564 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 19:49:39,986 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 20:49:40,227 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 21:49:40,401 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 22:49:40,605 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-21 23:49:40,915 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-22 00:49:41,132 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
2026-06-22 01:49:41,360 - catalyst_calendar - INFO - calendar tick: collected=0 upserted=0 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 0}
