2026-07-07 08:18:48,626 - CatalystCalendarModule - INFO - Catalyst Calendar Module Starting...
2026-07-07 08:18:48,627 - CatalystCalendarModule - INFO -    Working dir: /app
2026-07-07 08:18:50,102 - CatalystCalendarModule - INFO -    DB pool connected to postgres:5432/tradingbot
2026-07-07 08:18:51,478 - CatalystCalendarModule - INFO -    Health server on :8096
2026-07-08 16:18:58,749 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 17:18:58,923 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 18:18:59,117 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 19:18:59,295 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 20:18:59,502 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 21:18:59,669 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 22:18:59,998 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-08 23:19:00,216 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 00:19:00,420 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 01:19:00,664 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 02:19:00,868 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 03:19:01,064 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 04:19:01,223 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 05:19:01,418 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 06:19:01,595 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 07:19:01,757 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 08:19:01,976 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 09:19:02,369 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 10:19:02,636 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 11:19:02,915 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 12:19:03,159 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 13:19:03,443 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 14:19:03,684 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 15:19:03,872 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 16:19:04,145 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 17:19:04,378 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 18:19:04,580 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 19:19:04,771 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
2026-07-09 20:19:04,981 - catalyst_calendar - INFO - calendar tick: collected=1 upserted=1 purged=0 sources={'defillama_unlocks': 0, 'binance_announcements': 0, 'static_macro': 1}
